Day,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersPercentage,ThreePointersPercentage,FreeThrowsPercentage,Minutes
2023-03-25T00:00:00Z,2.6,4.9,32.9,38.2,24.4,61.1,20
2023-03-24T00:00:00Z,2.6,4.9,32.9,45.8,12.2,50.9,17
2023-03-09T00:00:00Z,3.4,12.2,27.5,38.9,13.6,55,23
2023-03-06T00:00:00Z,4.5,11.6,38.6,47.5,30.6,61.1,22
2023-03-05T00:00:00Z,4.1,10.4,39.5,38.2,40.8,61.1,21
2023-02-28T00:00:00Z,3.4,11,30.6,35.6,20.3,48.9,21
2023-02-25T00:00:00Z,1.9,3.4,34,36.7,30.6,45.8,20
2023-02-23T00:00:00Z,2.6,5.2,30.6,40.8,22.9,61.1,24
2023-02-15T00:00:00Z,1.9,4.1,27.8,27.1,30.6,61.1,21
2023-02-13T00:00:00Z,4.5,14.7,30.6,34.3,22.9,61.1,21
2023-02-11T00:00:00Z,3,6,30.6,22.9,38.2,0,21
2023-02-10T00:00:00Z,2.6,3.4,47.5,61.1,30.6,61.1,15
2023-02-08T00:00:00Z,1.1,3,22.9,30.6,20.3,30.6,23
2023-02-05T00:00:00Z,1.9,3.7,30.6,30.6,30.6,40.8,19
2023-02-03T00:00:00Z,1.5,4.5,20.3,24.4,17.5,0,21
2023-02-02T00:00:00Z,4.1,14.7,28,38.9,18.8,0,21
2023-01-11T00:00:00Z,2.2,4.5,30.6,43.6,12.2,40.8,16
2023-01-08T00:00:00Z,1.5,3.7,24.4,30.6,20.3,61.1,21
2023-01-06T00:00:00Z,1.9,5.6,20.3,24.4,18.3,61.1,20
2023-01-04T00:00:00Z,2.6,5.2,30.6,43.6,17.5,0,24
2023-01-02T00:00:00Z,2.6,5.6,28.5,27.8,30.6,0,19
2022-12-31T00:00:00Z,3,4.9,37.6,52.4,20.3,52.4,20
2022-12-29T00:00:00Z,3.7,11.6,32.1,22.2,45.8,61.1,21
2022-12-27T00:00:00Z,3.4,6,34.3,45.8,22.9,40.8,18
2022-12-26T00:00:00Z,1.5,4.5,20.3,26.2,12.2,61.1,19
2022-12-23T00:00:00Z,5.2,12.2,42.8,61.1,38.2,61.1,23
2022-12-21T00:00:00Z,4.5,14.7,30.6,33.3,28.2,45.8,21
2022-12-18T00:00:00Z,1.9,6,19.1,18.3,20.3,61.1,19
2022-12-16T00:00:00Z,1.9,4.9,23.5,61.1,0,61.1,21
2022-12-14T00:00:00Z,3.4,10.4,32.3,34.9,30.6,52.4,21
2022-12-12T00:00:00Z,0,3.4,0,0,0,61.1,20
2022-12-10T00:00:00Z,4.5,5.6,48.9,43.6,53.5,61.1,22
2022-12-09T00:00:00Z,3.4,5.2,39.3,36.7,45.8,61.1,20
2022-12-07T00:00:00Z,3.4,5.2,39.3,48.9,34,61.1,22
2022-12-02T00:00:00Z,1.9,6,19.1,17.5,20.3,30.6,18
2022-11-30T00:00:00Z,1.5,4.9,18.8,26.2,10.2,0,15
2022-11-28T00:00:00Z,3.7,13.4,27.8,28.5,26.2,20.3,21
2022-11-27T00:00:00Z,2.2,6,22.9,22.9,22.9,0,18
2022-11-25T00:00:00Z,2.6,5.6,28.5,40.8,10.2,61.1,21
2022-11-23T00:00:00Z,1.5,5.6,16.3,15.3,17.5,0,21
2022-11-21T00:00:00Z,2.6,4.5,35.6,52.4,12.2,61.1,16
2022-11-19T00:00:00Z,3.4,6,34.3,45.8,22.9,30.6,20
2022-11-18T00:00:00Z,2.6,6,26.8,43.6,13.6,61.1,22
2022-11-16T00:00:00Z,3.4,5.6,36.7,52.4,22.9,61.1,20
2022-11-12T00:00:00Z,1.1,5.2,13.1,12.2,13.6,0,24
2022-11-09T00:00:00Z,3.4,5.6,36.7,52.4,22.9,0,20
2022-11-07T00:00:00Z,2.6,5.2,30.6,15.3,36.7,0,21
2022-11-04T00:00:00Z,3.4,6,34.3,45.8,22.9,15.3,22
2022-10-31T00:00:00Z,1.5,4.1,22.2,26.2,15.3,61.1,20
2022-10-29T00:00:00Z,2.6,6,26.8,10.2,36.7,61.1,20
2022-10-28T00:00:00Z,3.4,6,34.3,36.7,30.6,61.1,22
2022-10-26T00:00:00Z,2.2,5.6,24.4,27.1,20.3,45.8,23
2022-10-24T00:00:00Z,2.6,4.1,38.9,48.9,30.6,61.1,19
2022-10-22T00:00:00Z,2.6,6,26.8,24.4,30.6,53.5,20
2022-10-21T00:00:00Z,3.4,11,30.6,37.6,12.2,61.1,16
2022-10-19T00:00:00Z,3.7,11,34,35.6,30.6,61.1,21
