Day,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersPercentage,ThreePointersPercentage,FreeThrowsPercentage,Minutes
2023-02-27T00:00:00Z,0.8,1.1,23.6,0,30.3,0,3
2023-02-25T00:00:00Z,0.8,2.8,3.4,2.1,11,14.2,14
2023-02-24T00:00:00Z,1.4,2.6,18.5,17.7,19.7,35.4,14
2023-02-15T00:00:00Z,1.3,3.3,13.6,16.1,11.8,35.4,13
2023-02-13T00:00:00Z,1.5,2.4,22.4,23.6,21.2,0,15
2023-02-11T00:00:00Z,0.8,2,13.3,17.7,10.6,21.2,12
2023-02-10T00:00:00Z,1.1,2.8,14.5,16.5,10.1,35.4,13
2023-02-08T00:00:00Z,0.8,2,13.3,2.8,20.2,0,12
2023-02-05T00:00:00Z,1.6,3,19.2,22.5,16.4,17.7,13
2023-02-03T00:00:00Z,0.9,2.9,10.8,10.6,10.9,35.4,14
2023-02-02T00:00:00Z,1,2.3,15.7,19,2.5,23.6,12
2023-01-31T00:00:00Z,1.3,3.3,13.6,14.6,11.8,23.6,14
2023-01-29T00:00:00Z,0.9,2.1,14.6,26.6,10.9,35.4,13
2023-01-26T00:00:00Z,0.3,1.9,1.7,0,2.3,31.9,13
2023-01-18T00:00:00Z,0.5,2,3.1,3.1,3.1,35.4,3
2023-01-16T00:00:00Z,1,2.9,12.3,3.4,14.8,35.4,12
2023-01-14T00:00:00Z,1.4,3.4,14.4,18.6,1.6,35.4,13
2023-01-12T00:00:00Z,1.4,2.4,20.5,27.5,14.2,23.6,14
2023-01-10T00:00:00Z,1.1,2.8,14.5,13.6,15.7,35.4,13
2023-01-08T00:00:00Z,0.6,1.5,14.8,17.7,13.3,0,3
2023-01-06T00:00:00Z,1,2.6,13.5,1.6,19,35.4,12
2023-01-04T00:00:00Z,0.9,2.9,10.8,10.6,10.9,35.4,12
2023-01-02T00:00:00Z,1.1,2.8,14.5,17.7,10.6,35.4,13
2022-12-31T00:00:00Z,0.9,2.4,13,14.2,12.6,28.3,13
2022-12-29T00:00:00Z,1.1,1.9,21.2,28.3,17.7,35.4,13
2022-12-27T00:00:00Z,0.9,3.1,3.5,12.6,2.3,35.4,12
2022-12-26T00:00:00Z,1.3,3.3,13.6,13.3,14.2,26.6,12
2022-12-23T00:00:00Z,1.1,2.8,14.5,17.7,11.8,17.7,13
2022-12-21T00:00:00Z,1.3,3.3,13.6,16.4,10.9,17.7,13
2022-12-19T00:00:00Z,1.1,2.4,16.8,15.7,17.7,0,3
2022-12-18T00:00:00Z,1.3,2.6,16.9,17.7,15.7,35.4,12
2022-12-16T00:00:00Z,1.1,2.3,17.7,14.2,19,23.6,11
2022-12-14T00:00:00Z,1.1,2.3,17.7,28.3,13.6,0,12
2022-11-16T00:00:00Z,1.3,2.1,20.8,19.7,22.1,17.7,13
2022-11-14T00:00:00Z,0.8,2.4,11.2,17.7,3.3,35.4,12
2022-11-12T00:00:00Z,0.8,2.1,12.5,22.1,1.4,35.4,4
