Day,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersPercentage,ThreePointersPercentage,FreeThrowsPercentage,Minutes
2023-04-04T00:00:00Z,2.9,11.8,30.4,30.4,30.4,0,47
2023-04-02T00:00:00Z,10.9,18.2,72.8,45.5,104,121.4,41
2023-03-31T00:00:00Z,7.4,11.8,75.9,91,60.7,121.4,44
2023-03-29T00:00:00Z,8.8,15.8,56.1,60.7,53.9,121.4,41
2023-03-27T00:00:00Z,14.6,25.5,69.3,81,40.4,72.8,40
2023-03-25T00:00:00Z,17,23.1,89.5,106.2,77.2,81,42
2023-03-24T00:00:00Z,10.3,19.4,53.2,45.5,60.7,121.4,47
2023-03-22T00:00:00Z,11.8,23.1,51.1,44.2,60.7,121.4,45
2023-03-20T00:00:00Z,10.9,23.1,57.5,70.8,34.7,121.4,56
2023-03-18T00:00:00Z,14.6,21.9,81,94.4,67.5,121.4,42
2023-03-17T00:00:00Z,5.9,12.1,48.6,40.4,52.1,121.4,34
2023-03-15T00:00:00Z,11.8,17,69.3,52.1,86.7,121.4,41
2023-03-12T00:00:00Z,4.4,10.9,40.4,30.4,48.6,0,34
2023-03-10T00:00:00Z,7.4,11.8,75.9,97.1,40.4,121.4,42
2023-03-07T00:00:00Z,10.9,19.4,68.2,67.5,69.3,121.4,36
2023-03-06T00:00:00Z,11.8,15.8,74.7,60.7,81,121.4,45
2023-03-04T00:00:00Z,11.8,14.6,81,104,48.6,121.4,49
2023-03-02T00:00:00Z,14.6,25.5,69.3,68.2,72.8,121.4,41
2023-03-01T00:00:00Z,12.1,20.6,71.4,72.8,69.3,121.4,45
2023-02-27T00:00:00Z,11.8,19.4,60.7,53.9,69.3,91,33
2023-02-25T00:00:00Z,5.9,12.1,48.6,60.7,0,0,30
2023-02-23T00:00:00Z,8.8,21.9,40.4,60.7,0,121.4,45
2023-02-15T00:00:00Z,8.8,14.6,60.7,60.7,60.7,121.4,33
2023-02-13T00:00:00Z,12.1,19.4,75.9,91,60.7,121.4,41
2023-02-11T00:00:00Z,5.9,13.4,44.2,69.3,0,121.4,40
2023-02-10T00:00:00Z,10.9,19.4,68.2,60.7,75.9,97.1,39
2023-02-08T00:00:00Z,4.4,17,26,33.1,0,0,27
2023-02-05T00:00:00Z,5.9,11.8,60.7,69.3,0,97.1,28
2023-02-03T00:00:00Z,11.8,18.2,64.7,55.2,91,104,33
2023-02-01T00:00:00Z,2.9,13.4,22.1,20.3,24.3,101.1,38
2023-01-30T00:00:00Z,5.9,10.9,53.9,97.1,0,0,33
2023-01-28T00:00:00Z,5.9,13.4,44.2,40.4,48.6,60.7,36
2023-01-25T00:00:00Z,11.8,17,69.3,48.6,81,121.4,36
2023-01-21T00:00:00Z,14.6,35.2,50.3,57.8,30.4,121.4,50
2023-01-19T00:00:00Z,10.3,14.6,70.8,91,30.4,0,34
2023-01-17T00:00:00Z,10.3,14.6,70.8,69.3,72.8,121.4,33
2023-01-15T00:00:00Z,8.8,15.8,56.1,75.9,24.3,91,39
2023-01-14T00:00:00Z,10.3,24.3,42.5,27,55.2,121.4,46
2023-01-12T00:00:00Z,8.8,15.8,56.1,81,0,121.4,40
2023-01-10T00:00:00Z,8.8,13.4,66.2,86.7,30.4,121.4,28
2023-01-08T00:00:00Z,11.8,21.9,53.9,81,27,101.1,40
2023-01-06T00:00:00Z,11.8,18.2,64.7,45.5,86.7,101.1,44
2023-01-04T00:00:00Z,8.8,19.4,45.5,50.6,30.4,121.4,44
2023-01-02T00:00:00Z,7.4,17,43.3,53.9,24.3,60.7,32
2022-12-30T00:00:00Z,5.9,12.1,48.6,52.1,40.4,0,22
2022-11-18T00:00:00Z,10.9,14.6,91,91,91,72.8,24
2022-11-13T00:00:00Z,11.8,29.1,40.4,45.5,30.4,0,44
2022-11-12T00:00:00Z,12.1,21.9,67.5,65.3,72.8,91,42
2022-11-10T00:00:00Z,7.4,20.6,35.7,33.1,40.4,91,40
2022-11-07T00:00:00Z,5.9,21.9,27,34.7,0,60.7,49
2022-11-04T00:00:00Z,12.1,35.2,41.9,45.5,37.4,121.4,47
2022-11-02T00:00:00Z,13.4,24.3,66.8,66.2,67.5,75.9,52
2022-10-31T00:00:00Z,14.6,26.7,66.2,75.9,40.4,121.4,41
2022-10-29T00:00:00Z,7.4,17,43.3,45.5,40.4,81,35
2022-10-28T00:00:00Z,18.2,24.3,91,91,91,101.1,47
2022-10-26T00:00:00Z,14.6,25.5,69.3,74.7,60.7,91,52
2022-10-24T00:00:00Z,4.4,13.4,33.1,20.3,48.6,0,45
2022-10-22T00:00:00Z,11.8,21.9,53.9,60.7,45.5,81,47
2022-10-20T00:00:00Z,8.8,15.8,56.1,72.8,0,91,41
2022-10-18T00:00:00Z,11.8,19.4,60.7,66.2,48.6,121.4,46
