Day,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersPercentage,ThreePointersPercentage,FreeThrowsPercentage,Minutes
2023-01-02T00:00:00Z,9.3,11.6,80.3,80.3,0,72.3,27
2022-12-31T00:00:00Z,5.6,15.4,36.2,36.2,0,77.1,27
2022-12-30T00:00:00Z,12.5,18.3,65.9,65.9,0,60.2,29
2022-12-28T00:00:00Z,13.5,20.2,64.3,62.7,96.4,71,32
2022-12-19T00:00:00Z,6.5,15.4,42.2,42.2,0,48.2,39
2022-12-17T00:00:00Z,11.6,14.5,77.1,82.6,0,82.6,38
2022-12-15T00:00:00Z,11.6,23.1,48.2,46.1,96.4,72.3,40
2022-12-13T00:00:00Z,9.3,15.4,60.2,68.8,0,57.8,24
2022-12-11T00:00:00Z,13.5,20.2,64.3,64.3,64.3,68.8,40
2022-12-09T00:00:00Z,12.5,16.4,73.7,73.7,0,72.3,35
2022-12-07T00:00:00Z,10.6,15.4,66.3,66.3,0,61.3,31
2022-12-04T00:00:00Z,8.4,16.4,51,51,0,61.3,34
2022-12-02T00:00:00Z,8.4,13.5,62,72.3,0,89,32
2022-11-30T00:00:00Z,11.6,14.5,77.1,77.1,0,72.3,36
2022-11-28T00:00:00Z,10.6,17.4,58.9,62.4,0,96.4,34
2022-11-25T00:00:00Z,5.6,11.6,48.2,48.2,0,96.4,29
2022-11-23T00:00:00Z,13.5,17.4,75,84.4,0,48.2,25
2022-11-21T00:00:00Z,2.8,6.5,41.4,41.4,0,72.3,22
2022-11-12T00:00:00Z,7.4,8.4,85.7,85.7,0,80.3,34
2022-11-10T00:00:00Z,8.4,13.5,62,59.3,96.4,64.3,30
2022-11-09T00:00:00Z,5.6,10.6,52.5,52.5,0,84.4,29
2022-11-07T00:00:00Z,9.3,14.5,64.3,64.3,64.3,64.3,32
2022-11-05T00:00:00Z,10.6,19.3,53,55.8,0,67.5,36
2022-11-04T00:00:00Z,6.5,10.6,61.3,61.3,0,48.2,26
2022-11-02T00:00:00Z,10.6,20.2,50.5,53,0,60.2,35
2022-10-30T00:00:00Z,8.4,16.4,51,51,0,72.3,29
2022-10-23T00:00:00Z,9.3,15.4,60.2,60.2,0,80.3,28
2022-10-21T00:00:00Z,6.5,18.3,35.5,35.5,0,48.2,29
2022-10-19T00:00:00Z,10.6,21.2,48.2,48.2,0,72.3,29
