Months,REB,AST,BLK,STL,PTS,Tyrese Maxey
2022-10,3.6,3.4,0.1,1.1,23.3,420
2022-11,3.3,5.6,0.4,0.9,22.4,415
2022-12,1,1,0,0,9,283.41
2023-01,2.4,3.5,0,0.7,18.9,231.27
2023-02,2.4,2.6,0.1,0.7,16.5,258.09
2023-03,3.2,3.8,0.1,0.9,22.7,249.78
2023-04,4,1.5,0.5,0.5,17,220.5
2023-10,6.7,6.3,0.3,0.7,30.3,224
2023-11,4.2,6.7,0.7,0.9,26.3,357.5
2023-12,2.6,6.2,0.4,0.7,24.8,330
2024-01,3.1,6.8,0.5,1.7,24.5,322.34
2024-02,4.3,5.5,0.3,1,26.9,284.45
2024-03,3.3,5.6,0.4,0.9,24.3,251.94
2024-04,4,5.8,0.4,0.8,30,227.51
