X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,79,36.0,8.9-19.5,45.9,2.7-7.3,36.9,4.0-5.3,75.6,0.6,5.2,5.8,4.4,0.7,1.6,2.4,3.3,24.6
Home,40,37.0,9.3-20.5,45.4,2.8-7.9,35.0,4.5-5.7,78.4,0.5,5.7,6.2,4.8,0.7,1.8,2.3,3.6,25.9
Road,39,34.9,8.6-18.5,46.4,2.6-6.7,39.1,3.6-5.0,72.3,0.7,4.7,5.4,4.1,0.8,1.4,2.4,2.9,23.4
vs. Division,16,34.7,9.2-20.3,45.4,2.4-6.8,36.1,3.3-4.9,67.9,0.9,5.4,6.3,4.4,0.3,1.5,2.4,2.7,24.1
vs. Conference,52,36.1,8.9-19.6,45.3,2.6-7.1,37.3,3.7-5.1,71.9,0.7,4.9,5.6,4.5,0.8,1.6,2.5,3.2,24.1
3+ Days Rest,5,33.2,8.2-20.0,41.0,2.2-6.8,32.4,3.8-4.8,79.2,1.0,5.6,6.6,5.2,0.4,2.2,2.0,3.0,22.4
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
October,7,36.4,8.9-19.3,45.9,2.7-7.9,34.5,2.6-4.0,64.3,0.6,5.6,6.1,4.4,0.3,0.9,3.0,3.1,23.0
November,15,36.5,8.0-17.3,46.3,2.5-7.3,34.5,4.3-5.3,81.0,0.6,4.9,5.5,3.5,0.5,1.7,2.7,3.1,22.8
December,15,37.6,9.1-19.4,46.7,2.6-6.4,40.6,4.6-6.5,70.4,0.8,6.0,6.8,5.2,0.7,2.3,2.7,3.5,25.3
January,16,35.7,9.8-20.9,46.7,3.3-8.3,39.4,4.5-5.4,83.7,0.6,5.3,5.9,4.9,0.8,1.4,2.0,3.7,27.3
February,11,35.4,8.7-20.5,42.5,1.9-6.5,29.2,4.1-4.9,83.3,0.3,4.6,4.9,4.4,1.1,1.5,2.1,3.5,23.5
March,11,34.8,8.5-18.4,46.5,2.9-7.5,39.0,2.7-4.4,62.5,0.3,4.5,4.8,4.1,0.7,0.9,2.0,2.5,22.7
April,4,33.0,10.8-23.5,45.7,3.0-7.8,38.7,5.3-7.3,72.4,1.5,5.5,7.0,4.0,1.5,2.0,1.5,3.5,29.8
Pre All-Star,61,36.2,9.0-19.4,46.4,2.7-7.3,36.4,4.3-5.5,77.6,0.6,5.3,5.9,4.5,0.6,1.6,2.5,3.4,24.9
Post All-Star,18,35.1,8.8-19.9,44.3,2.8-7.4,38.3,3.3-4.8,67.8,0.6,4.9,5.4,4.2,1.1,1.4,1.7,3.0,23.8
Result,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Wins,40,35.5,9.0-19.6,46.1,2.8-7.5,37.7,4.4-5.6,78.6,0.7,5.7,6.4,4.9,0.8,1.7,2.5,3.3,25.3
Losses,39,36.4,8.9-19.4,45.6,2.6-7.1,36.0,3.7-5.1,72.2,0.5,4.7,5.2,4.0,0.7,1.5,2.2,3.3,24.0
Position,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
As Starter,79,36.0,8.9-19.5,45.9,2.7-7.3,36.9,4.0-5.3,75.6,0.6,5.2,5.8,4.4,0.7,1.6,2.4,3.3,24.6
Day,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Monday,14,37.1,8.8-20.0,43.9,2.8-7.8,35.8,4.8-6.4,74.4,1.1,5.9,7.0,4.4,0.6,1.6,2.6,3.7,25.1
Tuesday,5,32.4,8.0-18.4,43.5,3.0-6.6,45.5,4.2-5.2,80.8,0.4,4.6,5.0,2.2,1.2,1.4,2.6,2.4,23.2
Wednesday,18,36.3,9.3-19.9,46.8,2.7-7.4,35.8,4.0-5.4,74.2,0.4,5.3,5.7,5.3,0.6,1.6,2.4,3.2,25.3
Thursday,2,38.5,8.0-21.0,38.1,2.5-9.0,27.8,10.0-11.0,90.9,0.5,4.5,5.0,5.0,0.5,3.0,3.5,5.5,28.5
Friday,19,35.7,8.4-18.3,46.1,2.4-6.5,37.1,3.1-4.4,71.1,0.4,4.9,5.4,3.6,0.9,1.3,2.1,2.5,22.4
Saturday,10,35.9,10.8-21.0,51.4,3.6-8.5,42.4,3.8-4.8,79.2,0.6,4.8,5.4,5.2,0.5,2.0,2.1,3.9,29.0
Sunday,11,35.6,8.4-19.2,43.6,2.2-6.8,32.0,3.8-5.1,75.0,0.7,5.3,6.0,4.6,0.8,1.5,2.2,3.5,22.7
Opponent,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
vs ATL,1,36.0,12.0-25.0,48.0,2.0-10.0,20.0,6.0-10.0,60.0,0.0,8.0,8.0,5.0,2.0,1.0,1.0,3.0,32.0
vs BKN,2,37.5,9.5-22.0,43.2,2.5-7.0,35.7,6.0-6.5,92.3,0.5,5.0,5.5,2.5,2.5,1.5,1.5,2.0,27.5
vs BOS,2,39.0,11.5-22.5,51.1,4.0-9.0,44.4,2.0-3.0,66.7,0.0,8.0,8.0,5.5,1.0,0.0,1.5,3.0,29.0
vs CHA,2,38.5,10.5-23.5,44.7,3.0-8.5,35.3,3.0-3.0,100.0,0.5,6.0,6.5,4.5,1.0,1.5,1.5,3.0,27.0
vs CHI,2,23.0,8.0-14.0,57.1,3.0-6.0,50.0,3.5-3.5,100.0,0.5,3.0,3.5,6.0,0.0,1.0,1.0,2.0,22.5
vs CLE,2,33.0,7.5-15.5,48.4,1.5-4.5,33.3,1.5-1.5,100.0,0.0,6.5,6.5,4.0,0.0,0.5,3.0,4.0,18.0
vs DAL,3,37.0,10.0-21.3,46.9,1.3-4.7,28.6,6.0-6.7,90.0,1.0,6.3,7.3,5.0,1.0,0.7,2.7,2.7,27.3
vs DEN,4,31.3,8.0-17.3,46.4,1.3-5.8,21.7,3.8-4.8,78.9,1.3,5.3,6.5,3.5,0.5,1.0,2.5,2.3,21.0
vs DET,2,31.5,9.0-19.5,46.2,3.0-8.5,35.3,4.0-4.5,88.9,0.0,4.0,4.0,5.5,0.0,0.5,2.5,2.5,25.0
vs GS,4,37.0,6.8-19.0,35.5,2.0-8.3,24.2,4.0-5.0,80.0,0.5,4.3,4.8,4.8,0.8,1.5,1.0,3.8,19.5
vs HOU,4,37.0,9.8-20.3,48.1,4.8-9.5,50.0,4.5-5.0,90.0,0.3,3.5,3.8,3.8,1.5,2.5,1.5,4.5,28.8
vs IND,2,35.5,7.5-16.0,46.9,2.0-4.0,50.0,5.5-6.0,91.7,0.5,7.0,7.5,5.0,0.0,3.5,2.5,5.0,22.5
vs LAC,3,32.0,4.7-13.0,35.9,1.3-5.0,26.7,3.3-4.7,71.4,0.3,4.3,4.7,3.7,1.3,1.7,2.7,3.7,14.0
vs LAL,3,37.3,7.3-18.0,40.7,3.3-7.7,43.5,1.7-2.7,62.5,0.0,4.3,4.3,2.3,0.7,2.0,3.3,3.3,19.7
vs MEM,4,38.3,9.3-17.8,52.1,2.3-4.5,50.0,4.0-5.0,80.0,0.3,4.3,4.5,5.8,1.5,1.5,2.3,1.8,24.8
vs MIA,2,39.0,10.0-18.5,54.1,4.5-10.0,45.0,1.0-2.0,50.0,1.0,5.5,6.5,5.5,1.0,3.0,3.0,6.0,25.5
vs MIL,2,38.5,10.0-19.5,51.3,2.5-7.5,33.3,4.5-8.0,56.3,0.5,6.0,6.5,2.0,1.0,2.5,2.5,2.0,27.0
vs NO,3,38.3,10.0-23.0,43.5,3.0-8.3,36.0,7.0-10.7,65.6,1.3,7.0,8.3,3.7,1.7,2.0,2.7,5.3,30.0
vs NY,1,37.0,5.0-14.0,35.7,1.0-7.0,14.3,5.0-6.0,83.3,1.0,8.0,9.0,1.0,0.0,1.0,1.0,3.0,16.0
vs ORL,2,38.5,8.5-17.5,48.6,4.0-10.0,40.0,6.0-8.5,70.6,0.0,6.5,6.5,5.5,1.0,1.5,2.0,2.5,27.0
vs PHI,2,35.0,9.5-22.5,42.2,3.5-10.0,35.0,6.0-6.5,92.3,0.0,6.0,6.0,3.0,0.5,0.5,2.0,3.5,28.5
vs PHO,4,37.8,9.3-19.8,46.8,2.5-7.8,32.3,3.3-4.8,68.4,0.0,3.8,3.8,4.0,0.5,2.0,4.0,2.5,24.3
vs POR,4,36.8,10.5-23.0,45.7,3.3-7.0,46.4,3.8-6.0,62.5,0.5,4.5,5.0,4.8,0.0,1.3,3.0,3.0,28.0
vs SA,4,33.8,8.8-19.8,44.3,3.3-8.3,39.4,2.8-3.5,78.6,0.5,4.5,5.0,5.0,0.3,1.5,2.3,2.3,23.5
vs SAC,4,38.3,11.0-20.8,53.0,3.0-7.3,41.4,2.8-5.5,50.0,1.5,5.3,6.8,6.5,0.8,1.0,3.0,4.3,27.8
vs OKC,4,34.5,8.8-18.5,47.3,2.0-5.8,34.8,2.0-4.5,44.4,1.3,7.0,8.3,5.3,0.3,2.0,2.8,3.3,21.5
vs TOR,1,40.0,5.0-16.0,31.3,2.0-8.0,25.0,11.0-12.0,91.7,0.0,5.0,5.0,7.0,0.0,3.0,3.0,5.0,23.0
vs UTA,4,36.3,9.5-22.3,42.7,3.3-8.5,38.2,3.8-4.3,88.2,0.8,4.8,5.5,4.3,0.3,1.8,1.5,2.3,26.0
vs WAS,2,37.0,10.0-22.5,44.4,2.0-8.0,25.0,9.5-10.5,90.5,2.0,4.5,6.5,2.5,0.5,2.5,3.0,6.5,31.5
