X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,69,32.2,7.2-15.2,47.7,2.8-7.8,36.4,2.8-3.3,85.5,0.5,3.4,3.9,10.9,0.7,1.2,1.1,2.3,20.1
Home,36,31.7,7.0-14.8,47.3,2.4-7.1,33.9,2.9-3.2,90.5,0.4,3.2,3.6,10.9,0.7,1.3,1.2,2.5,19.3
Road,33,32.8,7.5-15.7,48.2,3.3-8.4,38.8,2.7-3.4,80.2,0.7,3.7,4.3,10.8,0.7,1.2,0.9,2.1,21.1
vs. Division,17,33.9,7.6-16.4,46.4,2.8-8.3,34.0,3.3-3.7,88.9,0.6,3.9,4.6,12.1,0.6,1.0,1.4,2.5,21.3
vs. Conference,47,32.2,7.5-15.7,48.0,3.1-8.1,37.8,3.3-3.8,86.6,0.6,3.6,4.1,11.3,0.8,1.2,1.2,2.3,21.4
3+ Days Rest,8,31.3,6.8-15.3,44.3,2.3-6.6,34.0,2.9-3.3,88.5,0.8,2.9,3.6,12.0,0.6,1.0,1.4,3.0,18.6
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
October,3,31.7,7.3-16.0,45.8,2.3-7.0,33.3,3.0-3.3,90.0,0.7,4.7,5.3,12.3,0.7,1.0,1.3,2.7,20.0
November,13,34.5,9.7-18.2,53.2,4.3-9.2,46.7,4.9-5.6,87.7,0.4,2.8,3.2,11.7,0.7,1.1,1.0,2.5,28.6
December,12,34.5,8.1-17.0,47.5,3.2-8.6,36.9,2.1-2.7,78.1,0.9,3.6,4.5,14.0,0.5,0.9,1.2,2.8,21.4
January,7,28.7,6.3-14.3,44.0,2.0-6.6,30.4,3.3-3.6,92.0,0.9,3.7,4.6,11.6,0.7,1.4,0.9,1.6,17.9
February,12,29.1,6.1-12.6,48.3,2.5-6.6,38.0,1.4-1.9,73.9,0.2,2.5,2.7,8.9,0.8,1.3,0.7,2.1,16.1
March,15,32.8,6.1-14.3,43.0,2.0-7.3,27.3,2.4-2.7,90.0,0.5,4.1,4.6,9.1,0.7,1.3,1.4,2.3,16.7
April,7,32.0,6.6-13.4,48.9,2.9-8.0,35.7,2.9-3.4,83.3,0.1,3.6,3.7,10.0,1.0,1.4,1.3,2.0,18.9
Pre All-Star,43,32.0,7.8-15.8,49.2,3.2-7.9,40.0,3.1-3.6,85.3,0.6,3.3,3.9,11.7,0.7,1.0,1.0,2.4,21.8
Post All-Star,26,32.6,6.3-14.1,45.0,2.3-7.5,30.3,2.3-2.7,85.9,0.3,3.6,4.0,9.6,0.7,1.5,1.2,2.2,17.3
Result,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Wins,40,32.1,7.7-15.1,51.0,3.2-8.0,40.1,2.6-2.9,87.2,0.4,3.9,4.4,11.5,0.9,1.4,1.0,2.1,21.1
Losses,29,32.5,6.7-15.4,43.3,2.3-7.4,31.0,3.2-3.8,83.6,0.6,2.7,3.3,10.1,0.4,0.9,1.2,2.6,18.8
Position,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
As Starter,68,32.4,7.3-15.3,47.6,2.9-7.8,36.5,2.8-3.3,85.4,0.5,3.4,3.9,11.0,0.7,1.2,1.1,2.3,20.2
Day,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Monday,13,31.5,6.5-14.5,45.2,2.5-7.1,35.9,2.8-3.2,88.1,0.5,3.6,4.2,10.8,0.5,0.9,1.4,2.6,18.5
Tuesday,8,33.0,9.3-16.8,55.2,4.3-9.4,45.3,2.4-3.3,73.1,0.9,3.9,4.8,10.8,1.0,1.5,0.8,2.5,25.1
Wednesday,12,32.1,7.7-15.9,48.2,2.9-8.1,36.1,2.8-3.3,85.0,0.6,2.9,3.5,11.1,0.9,1.1,1.2,1.9,21.1
Thursday,9,34.2,8.6-16.7,51.3,3.4-9.6,36.0,2.3-3.1,75.0,0.4,3.1,3.6,12.3,0.8,1.0,1.0,2.4,22.9
Friday,11,31.0,5.7-13.2,43.4,2.3-6.9,32.9,2.8-3.2,88.6,0.3,3.4,3.6,10.5,0.4,1.2,1.0,2.5,16.5
Saturday,7,34.3,8.4-17.9,47.2,3.4-8.7,39.3,3.7-4.0,92.9,0.4,4.3,4.7,12.3,0.6,1.7,1.0,2.3,24.0
Sunday,9,30.8,5.6-12.8,43.5,1.4-5.3,27.1,2.9-3.1,92.9,0.4,3.1,3.6,9.0,0.9,1.3,1.1,1.9,15.4
Opponent,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
vs ATL,3,29.7,6.7-11.3,58.8,3.7-7.7,47.8,2.7-3.3,80.0,0.7,4.3,5.0,15.7,1.0,2.7,1.3,3.3,19.7
vs BKN,3,31.3,8.0-18.3,43.6,3.3-10.0,33.3,2.3-2.3,100.0,0.3,4.3,4.7,8.3,1.3,1.7,0.3,0.7,21.7
vs BOS,4,27.5,5.8-14.0,41.1,2.3-7.0,32.1,2.0-2.0,100.0,1.8,3.5,5.3,9.0,0.0,1.8,1.3,1.8,15.8
vs CHA,4,29.8,7.8-14.5,53.4,4.3-8.5,50.0,3.3-3.5,92.9,0.5,2.5,3.0,10.3,1.0,0.5,0.8,2.8,23.0
vs CHI,4,35.8,5.8-15.3,37.7,2.8-9.5,28.9,3.3-4.0,81.3,0.8,3.0,3.8,13.0,0.5,1.0,2.0,2.0,17.5
vs CLE,4,33.5,5.8-14.3,40.4,2.3-7.8,29.0,4.3-4.5,94.4,0.5,5.0,5.5,12.5,0.3,1.0,2.5,3.3,18.0
vs DAL,2,31.5,8.0-15.0,53.3,2.0-7.5,26.7,0.0-0.0,0.0,0.5,4.0,4.5,10.5,0.5,2.0,1.0,1.5,18.0
vs DET,4,31.3,8.3-16.5,50.0,3.3-8.0,40.6,1.5-1.8,85.7,0.0,3.0,3.0,12.0,0.5,1.8,0.8,3.8,21.3
vs GS,2,32.0,5.5-12.5,44.0,2.5-6.0,41.7,2.0-2.5,80.0,0.0,1.5,1.5,11.0,2.0,2.5,0.5,2.0,15.5
