X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,36,35.2,8.2-20.0,41.1,4.0-10.6,37.6,2.8-3.4,84.3,1.2,5.3,6.4,8.4,0.3,1.3,3.3,3.6,23.3
Home,17,35.8,8.3-19.4,42.7,4.5-11.5,39.3,2.9-3.6,82.0,0.9,5.6,6.5,8.8,0.4,1.2,2.9,4.0,24.1
Road,19,34.7,8.2-20.6,39.6,3.5-9.8,35.8,2.7-3.2,86.7,1.4,4.9,6.4,8.2,0.3,1.4,3.6,3.2,22.6
vs. Division,8,35.6,8.1-19.0,42.8,4.6-12.0,38.5,1.1-1.8,64.3,0.6,5.1,5.8,7.9,0.4,0.9,2.6,4.3,22.0
vs. Conference,23,35.5,8.0-19.3,41.8,4.1-10.6,38.7,2.6-3.2,80.8,0.8,4.9,5.7,8.5,0.3,1.2,3.3,3.7,22.7
3+ Days Rest,4,34.8,7.0-17.8,39.4,3.3-10.5,31.0,4.0-4.3,94.1,0.5,6.5,7.0,8.3,0.0,0.8,3.8,3.0,21.3
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
November,3,32.7,7.3-17.7,41.5,3.3-10.7,31.3,1.3-1.7,80.0,0.0,3.7,3.7,7.0,0.3,1.0,2.7,3.7,19.3
December,10,34.8,8.9-20.9,42.6,4.5-11.5,39.1,2.7-3.2,84.4,1.4,5.2,6.6,8.2,0.3,1.2,3.9,3.1,25.0
January,12,34.9,7.6-20.3,37.4,3.5-10.3,33.9,3.8-4.3,88.5,1.2,4.3,5.4,8.7,0.6,1.2,3.5,3.4,22.5
February,11,36.6,8.5-19.6,43.5,4.3-10.2,42.0,2.3-2.9,78.1,1.3,6.8,8.1,8.8,0.0,1.5,2.6,4.2,23.6
Pre All-Star,33,35.4,8.3-20.3,40.8,3.9-10.6,36.5,2.9-3.3,86.4,1.2,5.1,6.3,8.4,0.3,1.3,3.4,3.5,23.3
Post All-Star,3,33.3,7.7-17.3,44.2,5.3-10.7,50.0,2.3-3.7,63.6,1.0,6.7,7.7,8.7,0.0,0.7,1.7,5.0,23.0
Result,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Wins,13,34.2,7.6-18.5,41.1,4.6-11.5,40.3,2.3-2.8,83.3,1.0,5.9,6.9,9.2,0.4,0.8,2.4,4.1,22.2
Losses,23,35.8,8.6-20.9,41.0,3.7-10.2,35.9,3.1-3.7,84.7,1.3,4.9,6.1,8.0,0.3,1.6,3.8,3.3,23.9
Position,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
As Starter,36,35.2,8.2-20.0,41.1,4.0-10.6,37.6,2.8-3.4,84.3,1.2,5.3,6.4,8.4,0.3,1.3,3.3,3.6,23.3
Day,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Monday,7,33.0,8.6-19.6,43.8,4.7-10.6,44.6,1.6-1.9,84.6,1.1,4.6,5.7,8.6,0.4,0.7,3.9,3.7,23.4
Tuesday,3,37.7,8.7-24.3,35.6,3.0-9.7,31.0,3.7-4.3,84.6,3.3,4.7,8.0,9.7,1.0,1.0,4.0,3.0,24.0
Wednesday,7,34.0,8.0-20.3,39.4,4.1-11.0,37.7,1.9-2.1,86.7,1.1,4.0,5.1,8.4,0.0,0.9,2.9,3.3,22.0
Thursday,4,37.3,7.5-16.8,44.8,3.0-9.0,33.3,5.3-6.3,84.0,1.0,7.3,8.3,7.5,0.5,1.3,3.3,4.5,23.3
Friday,6,37.2,8.8-21.2,41.7,4.8-11.2,43.3,3.0-3.3,90.0,1.0,5.7,6.7,8.2,0.3,2.3,2.8,2.8,25.5
Saturday,5,35.6,7.2-20.2,35.6,3.0-11.4,26.3,3.8-5.0,76.0,0.6,6.6,7.2,10.2,0.0,1.4,3.0,4.4,21.2
Sunday,4,33.8,8.8-18.5,47.3,4.3-10.8,39.5,2.3-2.5,90.0,0.8,4.8,5.5,6.5,0.3,1.5,3.5,3.5,24.0
Opponent,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
vs ATL,2,37.0,10.5-18.5,56.8,6.5-11.5,56.5,1.0-1.5,66.7,0.5,3.5,4.0,9.0,0.5,0.5,1.0,3.0,28.5
vs BKN,1,36.0,7.0-19.0,36.8,5.0-14.0,35.7,4.0-5.0,80.0,0.0,7.0,7.0,11.0,0.0,2.0,4.0,4.0,23.0
vs BOS,3,37.0,9.3-24.0,38.9,2.7-9.0,29.6,5.3-5.3,100.0,1.3,5.7,7.0,8.3,0.0,1.0,3.7,4.0,26.7
vs CHI,2,36.5,5.0-16.5,30.3,1.5-8.0,18.8,5.5-6.0,91.7,0.5,9.0,9.5,7.0,0.0,1.0,2.0,5.0,17.0
vs DEN,2,35.5,8.0-18.5,43.2,3.5-9.5,36.8,5.0-6.0,83.3,1.0,6.0,7.0,8.5,0.0,1.5,2.5,3.0,24.5
vs DET,3,31.7,7.3-16.7,44.0,5.0-11.0,45.5,1.7-2.0,83.3,0.3,4.7,5.0,8.0,0.0,1.7,5.0,3.0,21.3
vs GS,1,35.0,7.0-25.0,28.0,2.0-11.0,18.2,5.0-5.0,100.0,4.0,6.0,10.0,4.0,0.0,0.0,5.0,3.0,21.0
