X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,60,33.6,7.3-15.2,48.1,2.7-6.2,43.4,3.0-3.6,84.5,0.4,2.6,2.9,3.5,0.1,0.8,2.2,1.3,20.3
Home,30,33.6,6.4-14.3,44.4,2.2-5.8,38.2,2.9-3.6,80.6,0.3,2.2,2.5,3.9,0.2,0.8,2.4,1.4,17.8
Road,30,33.5,8.3-16.1,51.3,3.1-6.5,48.0,3.1-3.5,88.6,0.5,2.9,3.3,3.1,0.1,0.8,2.0,1.2,22.8
vs. Division,12,33.7,7.0-14.6,48.0,2.8-6.1,45.2,3.0-3.4,87.8,0.4,2.6,3.0,3.3,0.2,1.0,2.7,1.6,19.8
vs. Conference,38,33.7,7.2-14.6,48.9,2.8-6.1,46.1,2.9-3.4,86.0,0.3,2.4,2.7,3.4,0.1,0.7,2.4,1.3,20.1
3+ Days Rest,5,29.0,7.0-14.0,50.0,2.4-5.4,44.4,3.0-3.4,88.2,0.0,2.2,2.2,3.4,0.2,0.8,1.8,0.6,19.4
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
October,8,37.1,8.6-16.9,51.1,3.0-6.6,45.3,3.0-3.9,77.4,0.4,3.3,3.6,3.4,0.1,1.1,2.6,2.3,23.3
November,7,35.6,8.1-19.7,41.3,2.7-7.0,38.8,3.4-4.9,70.6,0.4,2.9,3.3,5.6,0.4,0.9,2.0,1.7,22.4
December,1,19.0,4.0-10.0,40.0,1.0-3.0,33.3,0.0-0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0
January,14,31.9,6.7-14.8,45.4,2.1-6.0,35.7,3.4-3.9,87.0,0.3,2.1,2.4,3.5,0.0,0.7,1.9,1.2,18.9
February,11,29.5,5.8-13.4,43.5,1.7-4.7,36.5,3.1-3.6,85.0,0.6,1.7,2.4,2.6,0.1,0.7,2.5,0.9,16.5
