PlayerID,SportsDataID,Status,TeamID,Team,Jersey,PositionCategory,Position,FirstName,LastName,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,Salary,PhotoUrl,Experience,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthChartPosition,DepthChartOrder,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,NbaDotComPlayerID
20000441,,Active,29,PHO,3,G,SG,Bradley,Beal,76,207,1993-06-28T00:00:00,St. Louis,MO,USA,NA,Florida,46741590,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,11,ff461754-ad20-4eeb-af02-2b46cc980b24,1966,3303,200464,606912,750970,3395,Scrambled,Scrambled,NA,Scrambled,15595,606912,5009,Bradley Beal,Bradley Beal,Bradley Beal,SG,3,20000029,Bradley Beal,606912,8315651,http://cdn.usatsimg.com/api/download/?imageID=21650129,http://cdn.usatsimg.com/api/download/?imageID=21696923,2023-10-14T18:35:51,2023-10-21T01:38:00,203078
20000452,,Active,10,TOR,17,G,SG,Garrett,Temple,77,195,1986-05-08T00:00:00,Baton Rouge,LA,USA,NA,Louisiana State,5401000,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,13,ee2644c1-1260-4bf4-9c70-7c5b0cee4770,1671,3083,200453,263903,724387,3009,Scrambled,Scrambled,NA,Scrambled,11074,263903,4682,Garrett Temple,Garrett Temple,Garrett Temple,SF,9,20000010,Garrett Temple,263903,8315793,http://cdn.usatsimg.com/api/download/?imageID=22174447,http://cdn.usatsimg.com/api/download/?imageID=22202936,2023-12-26T11:11:07,2023-12-31T19:30:33,202066
20000455,,Active,23,NO,17,C,C,Jonas,Valanciunas,83,265,1992-05-06T00:00:00,Utena,NA,Lithuania,NA,None,15435000,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,11,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,1832,3190,200109,599780,749270,3093,Scrambled,Scrambled,NA,Scrambled,14503,599780,4886,Jonas Valanciunas,Jonas Valanciunas,Jonas Valanciunas,C,3,20000023,Jonas Valanciunas,599780,8277057,http://cdn.usatsimg.com/api/download/?imageID=21680298,http://cdn.usatsimg.com/api/download/?imageID=21720524,2023-10-19T10:16:43,2023-10-24T00:20:34,202685
20000456,,Active,11,CHI,11,F,SF,DeMar,DeRozan,78,220,1989-08-07T00:00:00,Compton,CA,USA,NA,Southern California,28600000,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,14,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,1610,3019,200407,457594,740142,2064,Scrambled,Scrambled,NA,Scrambled,9714,457594,4614,DeMar DeRozan,DeMar DeRozan,DeMar DeRozan,SF,3,20000011,DeMar DeRozan,457594,8277186,http://cdn.usatsimg.com/api/download/?imageID=22188547,http://cdn.usatsimg.com/api/download/?imageID=22202892,2023-12-29T10:56:31,2023-12-31T19:25:01,201942
20000457,,Active,7,PHI,7,G,PG,Kyle,Lowry,72,196,1986-03-25T00:00:00,Philadelphia,PA,USA,NA,Villanova,2795839,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,18,8c090758-6baa-468d-82fd-d47e17d5091b,1269,2720,200521,266394,723046,1711,Scrambled,Scrambled,NA,Scrambled,9535,266394,4152,Kyle Lowry,Kyle Lowry,Kyle Lowry,PG,6,20000007,Kyle Lowry,266394,8338297,http://cdn.usatsimg.com/api/download/?imageID=21629762,http://cdn.usatsimg.com/api/download/?imageID=21685522,2023-10-12T12:10:35,2023-10-19T22:14:44,200768
20000464,,Active,13,IND,16,F,PF,James,Johnson,79,240,1987-02-20T00:00:00,Cheyenne,WY,USA,NA,Wake Forest,777703,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,13,1f0687ca-c8f2-4c71-8306-8a18cbf6cc60,1621,3021,200148,398037,736252,2088,Scrambled,Scrambled,NA,Scrambled,9966,398037,4621,James Johnson,James Johnson,James Johnson,SF,9,20000013,James Johnson,398037,8336064,http://cdn.usatsimg.com/api/download/?imageID=19134523,http://cdn.usatsimg.com/api/download/?imageID=19171779,2022-09-28T20:45:31,2022-10-03T20:01:52,201949
20000468,,Active,27,LAL,3,C,C,Anthony,Davis,82,253,1993-03-11T00:00:00,Chicago,IL,USA,NA,Kentucky,40600080,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,10,ea8826b8-1f76-4eab-b61e-ffcb176880f3,1967,3297,200349,603096,750979,3407,Scrambled,Scrambled,NA,Scrambled,15755,603096,5007,Anthony Davis,Anthony Davis,Anthony Davis,C,3,20000027,Anthony Davis,603096,8256699,http://cdn.usatsimg.com/api/download/?imageID=22174993,http://cdn.usatsimg.com/api/download/?imageID=22202913,2023-12-26T13:47:37,2023-12-31T19:28:37,203076
20000471,,Active,29,PHO,23,F,SF,Eric,Gordon,75,215,1988-12-25T00:00:00,Indianapolis,IN,USA,NA,Indiana,3196448,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,15,f8d6c74c-e0bd-41ed-a814-f0b25259fe0a,1496,2926,200458,401085,736286,771,Scrambled,Scrambled,NA,Scrambled,9556,401085,4469,Eric Gordon,Eric Gordon,Eric Gordon,PG,6,20000029,Eric Gordon,401085,8315655,http://cdn.usatsimg.com/api/download/?imageID=21650131,http://cdn.usatsimg.com/api/download/?imageID=21696935,2023-10-14T18:36:34,2023-10-21T01:38:31,201569
20000474,,Active,9,BOS,4,G,PG,Jrue,Holiday,76,205,1990-06-12T00:00:00,Mission Hills,CA,USA,NA,UCLA,36861707,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,14,65700e81-3aa0-49a9-8a94-004f2cfb64e5,1623,3029,200505,457576,741327,2049,Scrambled,Scrambled,NA,Scrambled,9663,457576,4622,Jrue Holiday,Jrue Holiday,Jrue Holiday,PG,3,20000009,Jrue Holiday,457576,8315822,http://cdn.usatsimg.com/api/download/?imageID=21663018,http://cdn.usatsimg.com/api/download/?imageID=21663017,2023-10-16T16:27:39,2023-10-16T16:27:14,201950
20000482,,Active,26,GS,23,F,PF,Draymond,Green,78,230,1990-03-04T00:00:00,Saginaw,MI,USA,NA,Michigan State,22321429,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,11,5e5099d1-4a58-43f2-8d03-f2ae5dd49337,1981,3299,200176,468895,740632,3203,Scrambled,Scrambled,NA,Scrambled,15860,468895,5069,Draymond Green,Draymond Green,Draymond Green,C,3,20000026,Draymond Green,468895,8247460,http://cdn.usatsimg.com/api/download/?imageID=21673427,http://cdn.usatsimg.com/api/download/?imageID=21720481,2023-10-18T10:27:45,2023-10-24T00:12:20,203110
