StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,YahooSalary,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,GlobalTeamID,FantasyDraftSalary,FantasyDraftPosition,GameID,OpponentID,Opponent,Day,DateTime,HomeOrAway,IsGameOver,GlobalGameID,GlobalOpponentID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
1094336,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5560,5560,24,Scrambled,Scrambled,2023-03-26T00:00:00,Scrambled,PG/SG,PG,PG,3,13,20000013,NA,Scrambled,19390,6,NY,2023-04-09T00:00:00,2023-04-09T13:00:00,AWAY,TRUE,20019390,20000006,2023-04-09T15:51:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1093588,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5560,5560,24,Scrambled,Scrambled,2023-03-26T00:00:00,Scrambled,PG/SG,PG,PG,16,15,20000013,NA,Scrambled,19371,14,DET,2023-04-07T00:00:00,2023-04-07T19:00:00,HOME,TRUE,20019371,20000014,2023-04-07T21:30:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1092834,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5560,5560,24,Scrambled,Scrambled,2023-03-26T00:00:00,Scrambled,PG/SG,PG,PG,3,13,20000013,NA,Scrambled,19359,6,NY,2023-04-05T00:00:00,2023-04-05T19:00:00,HOME,TRUE,20019359,20000006,2023-04-05T21:37:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1091969,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5499,5499,24,Scrambled,Scrambled,2023-03-26T00:00:00,Scrambled,PG/SG,PG,PG,0,0,20000013,NA,Scrambled,19342,12,CLE,2023-04-02T00:00:00,2023-04-02T20:00:00,AWAY,TRUE,20019342,20000012,2023-04-02T22:37:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1090590,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5499,5499,24,Scrambled,Scrambled,2023-03-26T00:00:00,Scrambled,PG/SG,PG,PG,13,12,20000013,NA,Scrambled,19317,18,OKC,2023-03-31T00:00:00,2023-03-31T19:00:00,HOME,TRUE,20019317,20000018,2023-03-31T21:54:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1089510,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5682,5682,24,Scrambled,Scrambled,2023-03-26T00:00:00,Scrambled,PG/SG,PG,PG,4,6,20000013,NA,Scrambled,19305,15,MIL,2023-03-29T00:00:00,2023-03-29T19:00:00,HOME,TRUE,20019305,20000015,2023-03-29T21:48:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1088476,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,5988,5560,5560,24,Scrambled,Scrambled,2023-03-26T00:00:00,Scrambled,PG/SG,PG,PG,4,2,20000013,NA,Scrambled,19292,25,DAL,2023-03-27T00:00:00,2023-03-27T19:00:00,HOME,TRUE,20019292,20000025,2023-03-27T21:36:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1087520,13,20002537,1,2023,Tyrese Haliburton,IND,PG,1,5927,6477,6477,25,Scrambled,Scrambled,2023-03-25T00:00:00,Scrambled,PG/SG,PG,PG,15,4,20000013,NA,Scrambled,19276,3,ATL,2023-03-25T00:00:00,2023-03-25T17:00:00,AWAY,TRUE,20019276,20000003,2023-03-28T04:00:13,1,26.1,20,3,2.6,4.9,32.9,37.6,1.9,3,38.2,0.7,1.9,24.4,1.1,1.1,61.1,0.4,0,0.4,1.5,0,0.8,4.9,0.4,0.4,0.4,0.4,11.6,5.3,40,21.3,28.6,0.5,0.8,2.4,11.8,27.3,28,27.3,-4.3,0.4,0,28,TRUE,TRUE,Scrambled
1086715,13,20002537,1,2023,Tyrese Haliburton,IND,PG,1,5927,5743,5743,25,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG,PG,2,5,20000013,NA,Scrambled,19266,9,BOS,2023-03-24T00:00:00,2023-03-24T19:00:00,AWAY,TRUE,20019266,20000009,2023-03-27T04:00:11,1,23,17,36,2.6,4.9,32.9,37.6,2.2,3,45.8,0.4,1.9,12.2,1.9,2.2,50.9,0,2.2,2.2,0,12.9,4,3.4,0.4,0,1.9,0.7,12.2,5.8,39.4,16.5,33.2,0.6,0,14.8,18.9,23.6,25.1,23.6,-9.2,0,0,25.1,TRUE,TRUE,Scrambled
1085838,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,5927,5804,5804,25,Scrambled,Scrambled,2023-03-10T00:00:00,Scrambled,PG/SG,PG,PG,2,4,20000013,NA,Scrambled,19255,10,TOR,2023-03-22T00:00:00,2023-03-22T19:30:00,AWAY,TRUE,20019255,20000010,2023-03-22T22:04:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1084932,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6049,5927,5927,25,Scrambled,Scrambled,2023-03-10T00:00:00,Scrambled,PG/SG,PG,PG,15,3,20000013,NA,Scrambled,19241,2,CHA,2023-03-20T00:00:00,2023-03-20T19:00:00,AWAY,TRUE,20019241,20000002,2023-03-20T23:51:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1083948,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5927,5927,25,Scrambled,Scrambled,2023-03-10T00:00:00,Scrambled,PG/SG,PG,PG,1,1,20000013,NA,Scrambled,19226,7,PHI,2023-03-18T00:00:00,2023-03-18T19:00:00,HOME,TRUE,20019226,20000007,2023-03-18T21:35:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1082988,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6110,5927,5927,25,Scrambled,Scrambled,2023-03-10T00:00:00,Scrambled,PG/SG,PG,PG,3,6,20000013,NA,Scrambled,19214,15,MIL,2023-03-16T00:00:00,2023-03-16T20:00:00,AWAY,TRUE,20019214,20000015,2023-03-16T22:30:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1081303,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6416,6232,6232,25,Scrambled,Scrambled,2023-03-10T00:00:00,Scrambled,PG/SG,PG,PG,16,15,20000013,NA,Scrambled,19189,14,DET,2023-03-13T00:00:00,2023-03-13T19:00:00,AWAY,TRUE,20019189,20000014,2023-03-13T21:19:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1080406,13,20002537,1,2023,Tyrese Haliburton,IND,PG,0,6477,6232,6232,25,Scrambled,Scrambled,2023-03-10T00:00:00,Scrambled,PG/SG,PG,PG,16,15,20000013,NA,Scrambled,19174,14,DET,2023-03-11T00:00:00,2023-03-11T19:00:00,AWAY,TRUE,20019174,20000014,2023-03-11T21:40:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
