StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,YahooSalary,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,GlobalTeamID,FantasyDraftSalary,FantasyDraftPosition,GameID,OpponentID,Opponent,Day,DateTime,HomeOrAway,IsGameOver,GlobalGameID,GlobalOpponentID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
1094266,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,0,0,20000002,NA,Scrambled,19387,12,CLE,2023-04-09T00:00:00,2023-04-09T13:00:00,AWAY,TRUE,20019387,20000012,2023-04-09T15:18:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1093533,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,4,11,20000002,NA,Scrambled,19373,22,HOU,2023-04-07T00:00:00,2023-04-07T19:00:00,HOME,TRUE,20019373,20000022,2023-04-07T21:37:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1092279,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,1,1,20000002,NA,Scrambled,19348,10,TOR,2023-04-04T00:00:00,2023-04-04T19:00:00,HOME,TRUE,20019348,20000010,2023-04-04T21:30:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1091588,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,1,1,20000002,NA,Scrambled,19332,10,TOR,2023-04-02T00:00:00,2023-04-02T13:00:00,HOME,TRUE,20019332,20000010,2023-04-02T15:10:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1090553,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,2,1,20000002,NA,Scrambled,19320,11,CHI,2023-03-31T00:00:00,2023-03-31T19:00:00,HOME,TRUE,20019320,20000011,2023-03-31T21:23:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1089190,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,3,3,20000002,NA,Scrambled,19302,18,OKC,2023-03-28T00:00:00,2023-03-28T20:00:00,AWAY,TRUE,20019302,20000018,2023-03-28T22:36:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1087737,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,2,1,20000002,NA,Scrambled,19282,25,DAL,2023-03-26T00:00:00,2023-03-26T13:00:00,HOME,TRUE,20019282,20000025,2023-03-26T15:40:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1086867,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,2,1,20000002,NA,Scrambled,19270,25,DAL,2023-03-24T00:00:00,2023-03-24T20:30:00,AWAY,TRUE,20019270,20000025,2023-03-24T23:03:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1086575,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,1,1,20000002,NA,Scrambled,19264,23,NO,2023-03-23T00:00:00,2023-03-23T20:00:00,AWAY,TRUE,20019264,20000023,2023-03-23T22:25:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1084945,2,20002528,1,2023,LaMelo Ball,CHA,PG,0,1239,1062,1062,1,Scrambled,Scrambled,2023-02-27T00:00:00,Scrambled,PG,PG,PG,3,1,20000002,NA,Scrambled,19241,13,IND,2023-03-20T00:00:00,2023-03-20T19:00:00,HOME,TRUE,20019241,20000013,2023-03-20T23:51:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
