StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,YahooSalary,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,GlobalTeamID,FantasyDraftSalary,FantasyDraftPosition,GameID,OpponentID,Opponent,Day,DateTime,HomeOrAway,IsGameOver,GlobalGameID,GlobalOpponentID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
1094167,7,20002546,1,2023,Tyrese Maxey,PHI,PG,0,8741,9955,9955,30,Scrambled,Scrambled,2023-04-05T00:00:00,Scrambled,PG/SG,PG/SG,SG,11,9,20000007,NA,Scrambled,19389,8,BKN,2023-04-09T00:00:00,2023-04-09T13:00:00,AWAY,TRUE,20019389,20000008,2023-04-09T15:33:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1093656,7,20002546,1,2023,Tyrese Maxey,PHI,PG,0,8741,9955,9955,30,Scrambled,Scrambled,2023-04-05T00:00:00,Scrambled,PG/SG,PG/SG,SG,29,12,20000007,NA,Scrambled,19374,3,ATL,2023-04-07T00:00:00,2023-04-07T19:30:00,AWAY,TRUE,20019374,20000003,2023-04-07T22:26:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1093270,7,20002546,1,2023,Tyrese Maxey,PHI,PG,0,8741,9348,9348,30,Scrambled,Scrambled,2023-04-05T00:00:00,Scrambled,PG/SG,PG/SG,SG,4,4,20000007,NA,Scrambled,19367,4,MIA,2023-04-06T00:00:00,2023-04-06T19:30:00,HOME,TRUE,20019367,20000004,2023-04-06T21:57:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,Scrambled
1092582,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,8741,9833,9833,33,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,9,17,20000007,NA,Scrambled,19353,9,BOS,2023-04-04T00:00:00,2023-04-04T20:00:00,HOME,TRUE,20019353,20000009,2023-04-07T04:00:14,1,11.3,47,46,2.9,11.8,30.4,30.4,1.5,5.9,30.4,1.5,5.9,30.4,0,0,0,0,5.9,5.9,0,13.4,8.9,1.5,0,1.5,5.9,7.4,7.4,11.8,37.9,-5.5,4.9,0,3.9,40.5,18.5,12.5,14.6,12.5,20.6,0,0,14.6,TRUE,TRUE,Scrambled
1091951,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,9105,9955,9955,33,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,16,10,20000007,NA,Scrambled,19343,15,MIL,2023-04-02T00:00:00,2023-04-02T20:00:00,AWAY,TRUE,20019343,20000015,2023-04-05T04:00:11,1,45.9,41,64,10.9,18.2,72.8,97.1,4.4,11.8,45.5,8.8,10.3,104,7.4,7.4,121.4,0,5.9,5.9,0,20.9,10.4,2.9,1.5,0,1.5,1.5,35.2,20.9,103.6,41.5,12.1,2.2,0,8.1,29.3,47.1,50.4,47.1,-15.8,0,0,50.4,TRUE,TRUE,Scrambled
1090616,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,9591,10319,10319,33,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,7,4,20000007,NA,Scrambled,19318,10,TOR,2023-03-31T00:00:00,2023-03-31T19:00:00,HOME,TRUE,20019318,20000010,2023-04-03T04:00:10,1,26.7,44,38,7.4,11.8,75.9,91,4.4,5.9,91,2.9,5.9,60.7,1.5,1.5,121.4,0,0,0,0,0,0,8.8,0,0,0,2.9,15.8,10.2,92.9,21.1,27.8,0,0,0,13.5,26.7,27.9,26.7,0,0,0,27.9,TRUE,TRUE,Scrambled
1089526,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,9712,10805,10805,33,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,15,7,20000007,NA,Scrambled,19308,25,DAL,2023-03-29T00:00:00,2023-03-29T19:30:00,HOME,TRUE,20019308,20000025,2023-04-01T04:00:11,1,43.5,41,32,8.8,15.8,56.1,74.7,2.9,5.9,60.7,5.9,10.9,53.9,8.8,8.8,121.4,0,5.9,5.9,0,16.9,9.9,5.9,2.9,0,1.5,4.4,26.7,19,86.2,32.8,23.6,4.4,0,8.8,27.3,45.9,46.7,45.9,11.8,0,0,46.7,TRUE,TRUE,Scrambled
1088640,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,9348,9348,9348,33,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,12,27,20000007,NA,Scrambled,19295,20,DEN,2023-03-27T00:00:00,2023-03-27T21:30:00,AWAY,TRUE,20019295,20000020,2023-03-30T04:00:10,1,57.4,40,46,14.6,25.5,69.3,75.1,12.1,18.2,81,2.9,8.8,40.4,4.4,7.4,72.8,1.5,4.4,5.9,4.9,13.3,10.3,7.4,4.4,0,0,1.5,35.2,28.2,76.5,46.3,33.5,6.6,0,0,36.6,61.1,58.9,61.1,-12.1,0,0,58.9,TRUE,TRUE,Scrambled
1087613,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,8984,8862,8862,28,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,6,18,20000007,NA,Scrambled,19279,29,PHO,2023-03-25T00:00:00,2023-03-25T22:00:00,AWAY,TRUE,20019279,20000029,2023-03-28T04:00:13,1,59.4,42,57,17,23.1,89.5,115,10.3,11.8,106.2,10.3,13.4,77.2,2.9,4.4,81,0,10.3,10.3,0,27.8,14.1,4.4,1.5,0,4.4,1.5,44.9,24.7,109.5,51.7,32.1,2.2,0,15.6,37.3,60.6,65.9,60.6,-10.9,0,0,65.9,TRUE,TRUE,Scrambled
1086952,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,8498,8498,8498,28,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,27,29,20000007,NA,Scrambled,19272,26,GS,2023-03-24T00:00:00,2023-03-24T22:00:00,AWAY,TRUE,20019272,20000026,2023-04-01T06:10:18,1,41.6,47,0,10.3,19.4,53.2,68.2,4.4,11.8,45.5,5.9,11.8,60.7,4.4,4.4,121.4,0,5.9,5.9,0,13.2,8.1,7.4,1.5,0,1.5,5.9,25.5,21,72.8,23.1,24.6,1.8,0,8,25.9,42.9,44.9,42.9,-20.6,0,0,44.9,TRUE,TRUE,Scrambled
1085863,7,20002546,1,2023,Tyrese Maxey,PHI,PG,1,8498,8377,8377,25,Scrambled,Scrambled,NA,Scrambled,PG/SG,PG/SG,SG,16,32,20000007,NA,Scrambled,19256,11,CHI,2023-03-22T00:00:00,2023-03-22T20:00:00,AWAY,TRUE,20019256,20000011,2023-03-25T04:00:10,1,42.5,45,38,11.8,23.1,51.1,63.9,5.9,13.4,44.2,5.9,11.8,60.7,1.5,1.5,121.4,0,7.4,7.4,0,16.2,11,5.9,1.5,0,0,1.5,25.5,23.6,65.3,24.6,21.6,2,0,0,27.8,43.7,45.2,43.7,42.5,0,0,45.2,TRUE,TRUE,Scrambled
