X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,70,31.5,8.9-15.6,57.0,0.1-0.3,33.3,5.0-7.1,70.2,1.7,4.1,5.8,5.0,0.7,1.1,2.3,2.8,22.9
Home,36,31.1,8.8-15.0,58.5,0.1-0.2,50.0,4.9-7.2,67.7,1.6,3.9,5.5,5.2,0.5,1.0,2.3,2.6,22.5
Road,34,32.0,9.1-16.3,55.6,0.1-0.4,25.0,5.0-6.9,73.1,1.9,4.2,6.1,4.8,0.8,1.2,2.2,2.9,23.2
vs. Division,13,31.1,8.2-15.2,53.8,0.1-0.2,33.3,5.1-7.9,64.1,2.0,3.8,5.8,4.0,0.5,1.0,2.5,3.0,21.5
vs. Conference,43,32.0,9.1-16.3,55.8,0.1-0.3,35.7,5.0-7.2,68.5,1.8,3.8,5.7,5.1,0.7,1.2,2.5,2.7,23.2
3+ Days Rest,12,32.1,9.7-16.2,59.8,0.1-0.2,50.0,5.3-7.1,74.1,2.1,4.4,6.5,5.3,1.0,0.8,1.8,2.8,24.7
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
October,3,30.0,9.3-16.3,57.1,0.0-0.3,0.0,3.3-6.0,55.6,2.7,3.0,5.7,2.7,0.0,0.7,2.0,2.7,22.0
November,12,32.3,9.5-16.8,56.4,0.2-0.3,66.7,5.3-8.0,66.7,1.9,4.1,6.0,5.4,0.3,1.2,2.7,2.6,24.5
December,12,29.6,7.9-13.0,60.9,0.1-0.4,20.0,4.5-6.8,66.7,1.8,4.6,6.4,4.3,0.4,0.8,2.9,2.6,20.4
January,11,28.9,8.6-14.2,60.9,0.1-0.2,50.0,3.6-5.2,70.2,1.1,2.7,3.8,4.8,0.5,0.9,1.7,2.6,21.0
February,11,32.5,9.3-17.4,53.4,0.1-0.2,50.0,5.3-7.0,75.3,1.9,3.7,5.6,6.5,1.1,0.6,2.2,2.4,23.9
March,14,32.6,9.1-14.6,62.0,0.0-0.1,0.0,5.9-8.2,72.2,1.9,5.3,7.1,4.8,0.9,1.2,2.0,3.4,24.1
April,7,34.4,9.0-19.3,46.7,0.1-0.6,25.0,5.4-7.1,76.0,1.4,3.7,5.1,5.3,1.3,2.3,2.1,3.0,23.6
Pre All-Star,44,30.5,8.8-15.0,58.5,0.1-0.3,36.4,4.7-6.9,68.4,1.8,3.8,5.5,4.8,0.5,0.9,2.3,2.5,22.4
Post All-Star,26,33.2,9.1-16.7,54.7,0.1-0.3,28.6,5.3-7.3,73.2,1.7,4.6,6.3,5.3,1.0,1.4,2.2,3.2,23.7
Result,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Wins,42,31.1,9.0-15.2,58.9,0.0-0.2,22.2,4.9-6.8,72.9,1.8,4.1,6.0,5.5,0.9,1.1,2.1,2.5,22.9
Losses,28,32.1,8.9-16.3,54.4,0.1-0.3,44.4,5.0-7.5,66.7,1.6,4.0,5.6,4.3,0.4,1.0,2.6,3.1,22.9
Position,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
As Starter,70,31.5,8.9-15.6,57.0,0.1-0.3,33.3,5.0-7.1,70.2,1.7,4.1,5.8,5.0,0.7,1.1,2.3,2.8,22.9
Day,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Monday,11,31.6,8.9-15.5,57.6,0.1-0.5,20.0,5.1-6.8,74.7,1.3,3.1,4.4,4.7,0.4,1.5,2.0,2.2,23.0
Tuesday,10,30.0,7.5-14.2,52.8,0.0-0.0,0.0,4.8-6.0,80.0,1.6,4.3,5.9,5.6,0.6,0.9,3.1,3.2,19.8
Wednesday,12,32.0,9.4-16.4,57.4,0.1-0.2,50.0,5.1-7.3,70.1,1.9,3.7,5.6,6.1,0.4,1.0,2.3,2.3,24.0
Thursday,6,30.7,9.7-15.7,61.7,0.0-0.2,0.0,4.0-6.7,60.0,0.7,4.5,5.2,5.0,0.8,1.2,2.3,3.5,23.3
Friday,16,31.3,8.8-16.7,52.8,0.2-0.4,50.0,4.8-7.0,68.8,2.1,4.4,6.5,4.3,0.9,1.1,2.3,2.6,22.6
Saturday,7,32.6,10.0-16.0,62.5,0.1-0.3,50.0,5.3-8.1,64.9,2.0,4.3,6.3,3.0,0.3,0.9,1.1,2.9,25.4
Sunday,8,33.0,8.6-14.0,61.6,0.0-0.3,0.0,5.5-7.9,69.8,2.3,4.4,6.6,6.5,1.3,1.0,2.5,3.4,22.8
Opponent,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
vs ATL,2,34.5,9.5-15.0,63.3,0.0-0.0,0.0,7.0-10.0,70.0,2.0,3.5,5.5,5.0,1.0,0.0,2.0,0.5,26.0
vs BKN,2,29.0,8.0-12.5,64.0,0.0-0.0,0.0,3.0-3.0,100.0,1.5,3.5,5.0,4.5,0.5,0.5,3.0,3.0,19.0
vs BOS,2,35.5,10.0-17.5,57.1,0.0-0.5,0.0,5.5-9.5,57.9,2.0,4.5,6.5,3.5,0.0,1.5,0.0,3.5,25.5
vs CHA,2,29.0,7.0-13.5,51.9,0.0-0.0,0.0,3.0-4.0,75.0,2.5,5.5,8.0,6.5,0.0,1.5,2.5,1.5,17.0
vs CHI,2,31.5,9.5-15.0,63.3,0.0-0.0,0.0,4.0-5.5,72.7,1.5,5.0,6.5,7.0,1.0,0.5,2.5,4.0,23.0
vs CLE,1,35.0,13.0-21.0,61.9,0.0-0.0,0.0,7.0-9.0,77.8,2.0,7.0,9.0,1.0,0.0,1.0,1.0,2.0,33.0
vs DAL,3,28.7,9.0-14.3,62.8,0.0-0.0,0.0,4.3-8.7,50.0,1.3,2.0,3.3,4.0,0.0,1.3,2.7,3.7,22.3
vs DEN,3,35.0,11.0-20.3,54.1,0.3-0.3,100.0,3.0-6.0,50.0,1.7,5.0,6.7,6.7,1.0,0.7,2.0,1.7,25.3
vs DET,1,36.0,13.0-14.0,92.9,0.0-0.0,0.0,10.0-14.0,71.4,1.0,6.0,7.0,6.0,0.0,2.0,2.0,4.0,36.0
vs GS,3,32.0,8.7-17.7,49.1,0.3-1.0,33.3,3.7-6.7,55.0,1.3,3.0,4.3,4.3,0.3,3.0,3.0,3.7,21.3
vs HOU,3,34.3,10.3-17.7,58.5,0.3-0.7,50.0,5.3-8.3,64.0,1.7,4.7,6.3,4.7,1.0,1.3,2.3,3.7,26.3
vs IND,2,26.5,6.5-13.0,50.0,0.5-1.0,50.0,2.0-4.5,44.4,1.0,2.0,3.0,5.5,0.0,0.0,1.0,3.0,15.5
vs LAC,4,31.0,9.3-17.8,52.1,0.0-0.3,0.0,6.3-9.3,67.6,2.3,3.3,5.5,5.0,1.0,1.8,2.5,2.8,24.8
vs LAL,4,30.8,7.5-13.0,57.7,0.0-0.3,0.0,5.3-7.5,70.0,2.3,3.5,5.8,5.5,0.3,0.8,3.0,3.3,20.3
vs MEM,4,31.8,6.3-14.8,42.4,0.0-0.0,0.0,5.8-7.5,76.7,2.0,4.5,6.5,3.0,0.3,0.5,2.8,3.5,18.3
vs MIA,2,30.0,5.5-14.5,37.9,0.0-0.0,0.0,2.5-3.0,83.3,3.5,3.5,7.0,5.5,0.5,0.5,2.5,4.0,13.5
vs MIL,2,31.0,8.5-14.5,58.6,0.0-0.0,0.0,8.5-11.5,73.9,0.5,3.0,3.5,2.0,0.5,0.5,1.5,4.0,25.5
vs MIN,2,31.0,12.0-16.0,75.0,0.0-0.0,0.0,7.5-9.0,83.3,1.5,3.0,4.5,4.0,1.0,1.0,2.0,1.5,31.5
vs NY,2,28.5,9.5-16.0,59.4,0.0-0.0,0.0,3.5-5.0,70.0,1.5,3.5,5.0,3.0,1.0,0.0,3.0,3.0,22.5
vs ORL,2,29.0,7.5-15.5,48.4,0.0-0.0,0.0,2.5-5.0,50.0,0.0,4.5,4.5,3.5,1.0,2.0,4.5,5.0,17.5
vs PHI,2,34.0,9.0-13.0,69.2,0.0-0.5,0.0,10.0-10.5,95.2,1.5,8.5,10.0,5.0,1.5,2.5,1.5,1.5,28.0
vs PHO,3,36.3,10.7-19.3,55.2,0.3-0.3,100.0,6.0-8.0,75.0,1.7,3.3,5.0,4.3,2.0,0.7,2.7,3.0,27.7
vs POR,2,33.5,9.0-17.5,51.4,0.0-0.0,0.0,6.0-7.0,85.7,2.0,6.5,8.5,3.0,1.0,1.0,1.5,2.5,24.0
vs SA,3,29.3,7.7-14.0,54.8,0.0-0.3,0.0,4.7-7.3,63.6,3.0,3.7,6.7,4.7,1.0,1.0,2.0,1.0,20.0
vs SAC,4,30.8,10.0-15.3,65.6,0.0-0.8,0.0,3.0-3.5,85.7,0.8,3.8,4.5,5.8,0.5,2.3,2.0,2.8,23.0
vs OKC,2,35.5,8.5-18.5,45.9,0.0-0.0,0.0,7.5-9.5,78.9,4.0,3.5,7.5,9.0,0.0,1.5,4.0,4.5,24.5
vs TOR,2,24.0,6.0-9.5,63.2,0.0-0.0,0.0,4.0-4.0,100.0,1.5,4.0,5.5,7.0,1.5,0.5,0.0,1.0,16.0
vs UTA,3,30.3,9.0-14.0,64.3,0.3-0.3,100.0,3.0-4.7,64.3,1.0,4.7,5.7,8.7,0.3,0.3,2.0,0.7,21.3
vs WAS,1,34.0,15.0-21.0,71.4,0.0-0.0,0.0,6.0-9.0,66.7,2.0,4.0,6.0,8.0,1.0,0.0,2.0,1.0,36.0
